,name,sex,person,line,episode,season,words
0,viserys, m,viserys, You dare! You give commands to me? To me? You do not command the dragon. I am Lord of the Seven Kingdoms. I don't take orders from savages or their sluts. Do you hear me?,3,1,35
1,viserys, m,viserys, Kill these Dothraki dogs! I am your King!,3,1,8
2,viserys, m,viserys, I have no interest in hospitality or comfort. I'll stay with Drogo until he fulfils his end of the bargain and I have my crown.,2,1,25
3,viserys, m,viserys," Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver?",2,1,26
4,viserys, m,viserys," Under my reign, you won't be punished for such nonsense. You can rest assured of that.",2,1,16
5,viserys, m,viserys, Daenerys!,1,1,1
6,viserys, m,viserys, Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?,1,1,25
7,viserys, m,viserys," Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?",1,1,64
8,viserys, m,viserys," When they write the history of my reign, sweet sister, they will say it began today.",1,1,16
9,viserys, m,viserys, Where is he?,1,1,3
10,viserys, m,viserys, Where’s he going?,1,1,3
11,viserys, m,viserys, But he didn’t say anything. Did he like her?,1,1,9
12,viserys, m,viserys, When will they be married?,1,1,5
13,viserys, m,viserys, Is it true they lie with their horses?,1,1,8
14,viserys, m,viserys, Do you take me for a fool?,1,1,7
15,viserys, m,viserys, I know how to play a man like Drogo. I give him a queen and he gives me an army.,1,1,20
16,viserys, m,viserys," So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",1,1,26
17,viserys, m,viserys," We go home with an army. With Khal Drogo’s army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that’s what it took.",1,1,30
18,viserys, m,viserys, When do I meet with the Khal? We need to begin planning the invasion.,1,1,14
19,viserys, m,viserys, When?,1,1,1
20,viserys, m,viserys, I piss on Dothraki omens. I waited 17 years to get my throne back.,1,1,14
21,viserys, m,viserys, Make him happy.,1,1,3
22,viserys, m,viserys," I'll call them what I like, because they're my people. This is my army. Khal Drogo is marching the wrong way with my army.",4,1,24
23,viserys, m,viserys," Yes, my dear?",4,1,3
24,viserys, m,viserys, They do.,4,1,2
25,viserys, m,viserys, It's entirely possible.,4,1,3
26,viserys, m,viserys," The brave men didn't kill dragons. The brave men rode them. Rode them from Valyria to build the greatest civilization this world has ever seen. The breath of the greatest dragon forged the Iron Throne, which the Usurper is keeping warm for me. The swords of the vanquished, a thousand of them... melted together like so many candles.",4,1,58
27,viserys, m,viserys,Really? Why dragons?,4,1,3
28,viserys, m,viserys," Well, after 15 years in a pleasure house, I imagine just seeing the sky makes you happy.",4,1,17
29,viserys, m,viserys, What have you seen?,4,1,4
30,viserys, m,viserys, A pirate ship?,4,1,3
31,viserys, m,viserys," I don't know. The Usurper had them smashed to powder, I expect. Scattered to the wind.",4,1,16
32,viserys, m,viserys," Yes, it is. What did I buy you for? To make me sad?",4,1,13
33,viserys, m,viserys, To teach my sister how to be a better lover? You think I bought you to make Khal Drogo happy? You pretty little idiot. Go on then. Get on with it.,4,1,31
34,viserys, m,viserys, You send this whore to give me commands? I should have sent you back her head!,4,1,16
35,viserys, m,viserys, How many times do I have to tell you? You do not command me.,4,1,14
36,viserys, m,viserys, What's this?,4,1,2
37,viserys, m,viserys, Dothraki rags? Are you going to dress me now?,4,1,9
38,viserys, m,viserys, This stinks of manure. All of it.,4,1,7
